ninja_name;ninja_rank;chakra_nature;ninja_clan;ninja_nickname
Naruto Uzumaki;Genin;Wind;Uzumaki;No. 1 Unpredictable Ninja
Sasuke Uchiha;Genin;Fire, Lightning;Uchiha;The Lost Uchiha
Kakashi Hatake;Jonin;Lightning, Earth, Water, Fire;Hatake;Copy Ninja Kakashi
Might Guy;Jonin;N/A;N/A;Green Beast
Itachi Uchiha;N/A;Fire;Uchiha;Kinslayer
Obito Uchiha;N/A;Fire;Uchiha;Sharingan
Minato Namikaze;Hokage;Lightning, Wind, Fire;Namikaze;Yellow Flash
Hashirama Senju;Hokage;Wood, Water, Earth;Senju;God of Shinobi
Tobirama Senju;Hokage;Water;Senju;The Inventor
Hiruzen Sarutobi;Hokage;Fire, Lightning, Water, Earth, Wind;Sarutobi;Professor
Nagato Uzumaki;N/A;6 Paths;Uzumaki;Pein
Madara Uchiha;N/A;6 Paths;Uchiha;Madara of the Flame
Jiraiya;Sage;Fire, Lightning, Water, Earth, Wind;N/A;Toad Sage
